"","Month","Day","mean_temp","mean_mois"
"315",11,10,286.311462195516,0.25738356030331
"316",11,11,286.289872053499,0.255593648136286
"317",11,12,286.840849315982,0.252871443598066
"318",11,13,286.828862745972,0.25155131124483
"319",11,14,286.596093086902,0.249431880952255
"320",11,15,285.808335215773,0.255844721454615
"321",11,16,285.516983299852,0.255367862721018
"322",11,17,285.237391725636,0.25735883602827
"323",11,18,284.843764750393,0.260694435897427
"324",11,19,284.782484402071,0.25759626600669
"325",11,20,285.007074245056,0.25418793307237
"326",11,21,285.195992852694,0.260298123050077
"327",11,22,284.982759694918,0.265080083645728
"328",11,23,285.122018088104,0.266035618968241
"329",11,24,284.627972557354,0.269737233650845
"330",11,25,284.365642126171,0.268031283880075
"331",11,26,284.157321512868,0.269831828083625
"332",11,27,283.874767367117,0.272654330425175
"333",11,28,283.601646788791,0.273843094217055
"334",11,29,283.519347480093,0.273482571246957
"335",11,30,283.363632853729,0.275634208213534
"336",12,1,283.089901422294,0.272582512857255
"337",12,2,283.152301054576,0.276023218109706
"338",12,3,282.847171134137,0.271059403011444
"339",12,4,283.001075245702,0.270799978845449
"340",12,5,283.173297666281,0.273074875559148
"341",12,6,283.390261622392,0.269486195618435
"342",12,7,283.037549113521,0.267854752221491
"343",12,8,283.315820270001,0.270993745857063
"344",12,9,282.944063646426,0.271368220909732
"345",12,10,282.611156395827,0.272423539982301
"346",12,11,282.090450197014,0.270519641529422
"347",12,12,281.786327072218,0.267031524037614
"348",12,13,281.913311617535,0.265801175290594
"349",12,14,282.255867841381,0.269025429775973
"350",12,15,282.350464953185,0.273974446291218
"351",12,16,282.093097501905,0.277254198097985
"352",12,17,281.951908814468,0.275526754775909
"353",12,18,281.931003956245,0.27404475015637
"354",12,19,281.970448702724,0.273159640061492
"355",12,20,282.066940764801,0.274356247293244
"356",12,21,282.293142673456,0.271543502133259
"357",12,22,282.374427771544,0.275364534017182
"358",12,23,282.276667873487,0.276489114923662
"359",12,24,282.332404018253,0.273401827072164
"360",12,25,281.864323466005,0.271059827078033
"361",12,26,281.514857295999,0.270597282219426
"362",12,27,281.250473606395,0.269079540931905
"363",12,28,281.464510598957,0.268007176155892
"364",12,29,281.26881701697,0.26514995498508
"365",12,30,281.624977268253,0.261342139206776
"366",12,31,281.657136615362,0.259215244486529
