"","Year","Month","Day","Hour","soil_temp","soil_mois"
"4481","2014","7","6","16","301.383130740041","0.151941788439774"
"4482","2014","7","6","17","300.644804158634","0.151456371909079"
"4483","2014","7","6","18","299.746768635858","0.151159728473654"
"4484","2014","7","6","19","298.828224041376","0.151009480499867"
"4485","2014","7","6","20","298.356951755372","0.150997922963422"
"4486","2014","7","6","21","297.421388995007","0.151032595572758"
"4487","2014","7","6","22","296.548226176214","0.160282477241003"
"4488","2014","7","6","23","295.772808720445","0.167783318393887"
"4489","2014","7","7","0","295.282336452418","0.171231316766682"
"4490","2014","7","7","1","294.901391354564","0.172356250314007"
"4491","2014","7","7","2","294.513028081838","0.172298462631781"
"4492","2014","7","7","3","294.274773759469","0.172283052583188"
"4493","2014","7","7","4","294.148228423412","0.172221412388814"
"4494","2014","7","7","5","294.108083006456","0.172706828919509"
"4495","2014","7","7","6","294.079283033423","0.173369461009029"
"4496","2014","7","7","7","294.248591965802","0.173920370246247"
"4497","2014","7","7","8","294.798409632808","0.180338655485438"
"4498","2014","7","7","9","294.815864161919","0.200498851557878"
"4499","2014","7","7","10","293.934410441799","0.251020695871653"
"4500","2014","7","7","11","293.89295593516","0.258960723409451"
"4501","2014","7","7","12","293.658628881841","0.267883141545085"
"4502","2014","7","7","13","293.597974393179","0.276863347362945"
"4503","2014","7","7","14","293.462265429339","0.288097272787603"
"4504","2014","7","7","15","293.405101846499","0.295563441331152"
"4505","2014","7","7","16","293.396810945171","0.29561352398908"
"4506","2014","7","7","17","293.515501743128","0.295497948624629"
"4507","2014","7","7","18","293.359283707582","0.295320733065804"
"4508","2014","7","7","19","293.285974685315","0.294584903245465"
"4509","2014","7","7","20","293.427356371116","0.293136358677676"
"4510","2014","7","7","21","292.956956811567","0.291406580723056"
"4511","2014","7","7","22","292.311139234449","0.289672950256288"
"4512","2014","7","7","23","292.064594010752","0.288779167437865"
"4513","2014","7","8","0","291.818048787056","0.288224405688499"
"4514","2014","7","8","1","291.636521684298","0.287823744425068"
"4515","2014","7","8","2","291.465467299008","0.287831449449365"
"4516","2014","7","8","3","291.828085141295","0.287477018331715"
"4517","2014","7","8","4","291.639576226893","0.287111029677619"
"4518","2014","7","8","5","291.729467051816","0.288320718492209"
"4519","2014","7","8","6","292.072012185625","0.287908499692333"
"4520","2014","7","8","7","292.822120574182","0.287742841669953"
"4521","2014","7","8","8","293.824883271626","0.287349885430819"
"4522","2014","7","8","9","293.9736831323","0.286120934055487"
"4523","2014","7","8","10","294.208882912074","0.280365280905817"
"4524","2014","7","8","11","294.12510117234","0.2786277979269"
"4525","2014","7","8","12","294.867355022797","0.276474243635959"
"4526","2014","7","8","13","295.288881900835","0.274921681240164"
"4527","2014","7","8","14","295.674626994194","0.272637141536179"
"4528","2014","7","8","15","295.881026800935","0.270664655316211"
"4529","2014","7","8","16","295.863135908596","0.268861679630772"
"4530","2014","7","8","17","295.451645384798","0.267482480281654"
"4531","2014","7","8","18","294.966409475504","0.266534762293154"
"4532","2014","7","8","19","294.489464467538","0.265991558080234"
"4533","2014","7","8","20","294.478991750071","0.265714177205551"
"4534","2014","7","8","21","293.61150165324","0.265521551598132"
"4535","2014","7","8","22","292.83826601361","0.265248023235598"
"4536","2014","7","8","23","292.217321140476","0.265024577530992"
"4537","2014","7","9","0","291.863866925973","0.264797279314238"
"4538","2014","7","9","1","291.494703635269","0.264589243658226"
"4539","2014","7","9","2","291.396521909018","0.264446700708736"
"4540","2014","7","9","3","291.585903549875","0.264427438147994"
"4541","2014","7","9","4","291.621248971326","0.264531455976"
"4542","2014","7","9","5","291.748667033838","0.264681703949787"
"4543","2014","7","9","6","292.138339396248","0.264901297142244"
"4544","2014","7","9","7","292.868375076327","0.265051545116031"
"4545","2014","7","9","8","293.666047056713","0.26626123393062"
"4546","2014","7","9","9","293.617610738429","0.268164374931917"
"4547","2014","7","9","10","293.902992289399","0.27163934088975"
"4548","2014","7","9","11","293.081320331485","0.276820969729313"
"4549","2014","7","9","12","293.094411228318","0.283948117203804"
"4550","2014","7","9","13","293.124520291035","0.29300922577678"
"4551","2014","7","9","14","293.113611210341","0.299138572604843"
"4552","2014","7","9","15","293.072593066929","0.300768185243605"
"4553","2014","7","9","16","292.924229569483","0.302401650394515"
"4554","2014","7","9","17","292.971793161312","0.302767639048611"
"4555","2014","7","9","18","292.858775085316","0.303156742775596"
"4556","2014","7","9","19","292.774120619126","0.303595929160511"
"4557","2014","7","9","20","293.127138470402","0.30236697778518"
"4558","2014","7","9","21","292.68684797357","0.301272864335042"
"4559","2014","7","9","22","291.814121518005","0.302286075030064"
"4560","2014","7","9","23","291.646994401765","0.301180404043481"
"4561","2014","7","10","0","291.161758492471","0.300313588810097"
"4562","2014","7","10","1","290.929613255291","0.300540887026851"
"4563","2014","7","10","2","290.496304570103","0.300409901613806"
"4564","2014","7","10","3","290.392450121891","0.300868350559462"
"4565","2014","7","10","4","290.146341261422","0.301207371628519"
"4566","2014","7","10","5","289.898486948042","0.301084091239771"
"4567","2014","7","10","6","290.669104408305","0.300213423494239"
"4568","2014","7","10","7","291.612085343542","0.299269558017887"
"4569","2014","7","10","8","293.07041125079","0.298237084762123"
"4570","2014","7","10","9","294.173973853852","0.296607472123361"
"4571","2014","7","10","10","294.903136807476","0.293047750898263"
"4572","2014","7","10","11","294.920591336587","0.290505092880337"
"4573","2014","7","10","12","295.044082130049","0.288000959983894"
"4574","2014","7","10","13","295.596081613194","0.285797323035024"
"4575","2014","7","10","14","295.882772253847","0.282796216071441"
"4576","2014","7","10","15","295.776299626268","0.28038069095441"
"4577","2014","7","10","16","295.497027160487","0.278516075074597"
"4578","2014","7","10","17","295.420663595625","0.277002037800286"
"4579","2014","7","10","18","294.966409475504","0.275938744447335"
"4580","2014","7","10","19","294.65048249859","0.275256849797073"
"4581","2014","7","10","20","294.663573395423","0.274906271191571"
"4582","2014","7","10","21","294.330191889398","0.274632742829036"
"4583","2014","7","10","22","292.943429551506","0.274428559685173"
"4584","2014","7","10","23","292.374411902478","0.274189703931973"
"4585","2014","7","11","0","291.845976033634","0.273958553203071"
"4586","2014","7","11","1","291.414849164585","0.273742812522762"
"4587","2014","7","11","2","291.073613120459","0.273523219330305"
"4588","2014","7","11","3","291.324521976434","0.273307478649996"
"4589","2014","7","11","4","291.243794779294","0.273087885457538"
"4590","2014","7","11","5","291.208012994616","0.272875997289378"
"4591","2014","7","11","6","291.912739607484","0.272552386268914"
"4592","2014","7","11","7","293.082629421168","0.271858934082207"
"4593","2014","7","11","8","294.613827987456","0.270699327925547"
"4594","2014","7","11","9","295.372227277341","0.269312423552132"
"4595","2014","7","11","10","296.837098633006","0.264111532151827"
"4596","2014","7","11","11","296.92480764179","0.261487971378785"
"4597","2014","7","11","12","297.39520720134","0.258606292291801"
"4598","2014","7","11","13","297.657897864465","0.260205084833376"
"4599","2014","7","11","14","297.640443335353","0.261549611573159"
"4600","2014","7","11","15","297.293970932494","0.261969535397331"
"4601","2014","7","11","16","296.840153175601","0.262262326320608"
"4602","2014","7","11","17","296.332226378462","0.261195180455508"
"4603","2014","7","11","18","295.709536052417","0.261326165868553"
"4604","2014","7","11","19","295.272300098179","0.260940914653716"
"4605","2014","7","11","20","295.165391107373","0.261064195042464"
"4606","2014","7","11","21","294.507355359877","0.261934862787996"
"4607","2014","7","11","22","293.768592415242","0.260709763924813"
"4608","2014","7","11","23","293.273320151709","0.261060342530315"
"4609","2014","7","12","0","293.076956699207","0.261052637506018"
"4610","2014","7","12","1","292.435502754367","0.260979439775199"
"4611","2014","7","12","2","291.766994289405","0.260752141558445"
"4612","2014","7","12","3","291.824594235472","0.260682796339775"
"4613","2014","7","12","4","291.948521392162","0.261160507846173"
"4614","2014","7","12","5","292.152739382764","0.261457151281598"
"4615","2014","7","12","6","292.655866184397","0.261599694231088"
"4616","2014","7","12","7","293.338338272649","0.263367997307191"
"4617","2014","7","12","8","293.978919491033","0.266068608323201"
"4618","2014","7","12","9","294.293537378264","0.272475336025947"
"4619","2014","7","12","10","295.172809282245","0.263988251763079"
"4620","2014","7","12","11","294.789682368252","0.266064755811053"
"4621","2014","7","12","12","294.799282359263","0.267636580767589"
"4622","2014","7","12","13","294.969027654871","0.268029537006724"
"4623","2014","7","12","14","295.390990896136","0.266399924367961"
"4624","2014","7","12","15","295.056736663655","0.264774164241348"
"4625","2014","7","12","16","295.009173071827","0.263163814163327"
